crab_year,fishery,size,total,target_stock
1991,QO92,90,1,BSSC
1991,QO92,91,1,BSSC
1991,QO92,92,2,BSSC
1991,QO92,94,1,BSSC
1991,QO92,95,1,BSSC
1991,QO92,96,5,BSSC
1991,QO92,97,1,BSSC
1991,QO92,98,3,BSSC
1991,QO92,99,7,BSSC
1991,QO92,100,17,BSSC
1991,QO92,101,16,BSSC
1991,QO92,102,22,BSSC
1991,QO92,103,20,BSSC
1991,QO92,104,17,BSSC
1991,QO92,105,32,BSSC
1991,QO92,106,32,BSSC
1991,QO92,107,28,BSSC
1991,QO92,108,31,BSSC
1991,QO92,109,38,BSSC
1991,QO92,110,53,BSSC
1991,QO92,111,42,BSSC
1991,QO92,112,76,BSSC
1991,QO92,113,58,BSSC
1991,QO92,114,48,BSSC
1991,QO92,115,73,BSSC
1991,QO92,116,80,BSSC
1991,QO92,117,72,BSSC
1991,QO92,118,83,BSSC
1991,QO92,119,80,BSSC
1991,QO92,120,82,BSSC
1991,QO92,121,103,BSSC
1991,QO92,122,103,BSSC
1991,QO92,123,95,BSSC
1991,QO92,124,90,BSSC
1991,QO92,125,107,BSSC
1991,QO92,126,88,BSSC
1991,QO92,127,92,BSSC
1991,QO92,128,93,BSSC
1991,QO92,129,84,BSSC
1991,QO92,130,88,BSSC
1991,QO92,131,86,BSSC
1991,QO92,132,69,BSSC
1991,QO92,133,76,BSSC
1991,QO92,134,90,BSSC
1991,QO92,135,58,BSSC
1991,QO92,136,63,BSSC
1991,QO92,137,47,BSSC
1991,QO92,138,57,BSSC
1991,QO92,139,34,BSSC
1991,QO92,140,28,BSSC
1991,QO92,141,12,BSSC
1991,QO92,142,23,BSSC
1991,QO92,143,12,BSSC
1991,QO92,144,9,BSSC
1991,QO92,145,8,BSSC
1991,QO92,146,3,BSSC
1991,QO92,147,3,BSSC
1991,QO92,149,1,BSSC
1991,QO92,151,1,BSSC
1991,QO92,153,1,BSSC
1991,QO92,156,1,BSSC
1991,QO92,157,1,BSSC
1991,QO92,161,1,BSSC
1992,QT92,102,1,WBT
1992,QT92,104,1,WBT
1992,QT92,105,1,WBT
1992,QT92,109,1,WBT
1992,QT92,112,1,WBT
1992,QT92,115,2,WBT
1992,QT92,119,2,WBT
1992,QT92,121,1,WBT
1992,QT92,122,1,WBT
1992,QT92,124,2,WBT
1992,QT92,125,2,WBT
1992,QT92,126,2,WBT
1992,QT92,127,2,WBT
1992,QT92,128,10,WBT
1992,QT92,129,3,WBT
1992,QT92,130,9,WBT
1992,QT92,131,9,WBT
1992,QT92,132,9,WBT
1992,QT92,133,12,WBT
1992,QT92,134,20,WBT
1992,QT92,135,23,WBT
1992,QT92,136,24,WBT
1992,QT92,137,17,WBT
1992,QT92,138,38,WBT
1992,QT92,139,68,WBT
1992,QT92,140,94,WBT
1992,QT92,141,69,WBT
1992,QT92,142,72,WBT
1992,QT92,143,60,WBT
1992,QT92,144,60,WBT
1992,QT92,145,46,WBT
1992,QT92,146,40,WBT
1992,QT92,147,36,WBT
1992,QT92,148,23,WBT
1992,QT92,149,16,WBT
1992,QT92,150,12,WBT
1992,QT92,151,8,WBT
1992,QT92,152,8,WBT
1992,QT92,153,7,WBT
1992,QT92,154,1,WBT
1992,QT92,155,4,WBT
1992,QT92,156,1,WBT
1992,QT92,157,3,WBT
1992,QT92,158,2,WBT
1992,QT92,159,1,WBT
1992,QT92,161,1,WBT
1992,QT92,163,1,WBT
1993,QO94,76,1,BSSC
1993,QO94,77,1,BSSC
1993,QO94,79,2,BSSC
1993,QO94,80,1,BSSC
1993,QO94,81,2,BSSC
1993,QO94,82,1,BSSC
1993,QO94,83,1,BSSC
1993,QO94,84,1,BSSC
1993,QO94,85,2,BSSC
1993,QO94,86,2,BSSC
1993,QO94,87,5,BSSC
1993,QO94,88,5,BSSC
1993,QO94,89,10,BSSC
1993,QO94,90,11,BSSC
1993,QO94,91,12,BSSC
1993,QO94,92,16,BSSC
1993,QO94,93,20,BSSC
1993,QO94,94,37,BSSC
1993,QO94,95,51,BSSC
1993,QO94,96,45,BSSC
1993,QO94,97,89,BSSC
1993,QO94,98,111,BSSC
1993,QO94,99,108,BSSC
1993,QO94,100,163,BSSC
1993,QO94,101,192,BSSC
1993,QO94,102,209,BSSC
1993,QO94,103,221,BSSC
1993,QO94,104,262,BSSC
1993,QO94,105,273,BSSC
1993,QO94,106,240,BSSC
1993,QO94,107,240,BSSC
1993,QO94,108,232,BSSC
1993,QO94,109,240,BSSC
1993,QO94,110,261,BSSC
1993,QO94,111,234,BSSC
1993,QO94,112,250,BSSC
1993,QO94,113,228,BSSC
1993,QO94,114,254,BSSC
1993,QO94,115,280,BSSC
1993,QO94,116,228,BSSC
1993,QO94,117,275,BSSC
1993,QO94,118,245,BSSC
1993,QO94,119,256,BSSC
1993,QO94,120,248,BSSC
1993,QO94,121,194,BSSC
1993,QO94,122,204,BSSC
1993,QO94,123,183,BSSC
1993,QO94,124,210,BSSC
1993,QO94,125,162,BSSC
1993,QO94,126,133,BSSC
1993,QO94,127,117,BSSC
1993,QO94,128,127,BSSC
1993,QO94,129,105,BSSC
1993,QO94,130,103,BSSC
1993,QO94,131,64,BSSC
1993,QO94,132,53,BSSC
1993,QO94,133,45,BSSC
1993,QO94,134,35,BSSC
1993,QO94,135,22,BSSC
1993,QO94,136,18,BSSC
1993,QO94,137,21,BSSC
1993,QO94,138,10,BSSC
1993,QO94,139,11,BSSC
1993,QO94,140,8,BSSC
1993,QO94,141,8,BSSC
1993,QO94,142,3,BSSC
1993,QO94,143,2,BSSC
1993,QO94,144,4,BSSC
1993,QO94,145,5,BSSC
1993,QO94,147,1,BSSC
1993,QO94,148,2,BSSC
1993,QT93,130,1,WBT
1993,QT93,135,1,WBT
1993,QT93,136,1,WBT
1993,QT93,137,2,WBT
1993,QT93,138,3,WBT
1993,QT93,139,7,WBT
1993,QT93,140,8,WBT
1993,QT93,141,7,WBT
1993,QT93,142,8,WBT
1993,QT93,143,2,WBT
1993,QT93,144,9,WBT
1993,QT93,145,5,WBT
1993,QT93,146,3,WBT
1993,QT93,147,4,WBT
1993,QT93,148,2,WBT
1993,QT93,149,5,WBT
1993,QT93,151,2,WBT
1993,QT93,152,2,WBT
1993,QT93,153,3,WBT
1993,QT93,154,1,WBT
1993,QT93,155,2,WBT
1993,QT93,156,2,WBT
1993,QT93,157,1,WBT
1993,QT93,162,1,WBT
1994,QO95,80,1,BSSC
1994,QO95,83,1,BSSC
1994,QO95,85,2,BSSC
1994,QO95,87,2,BSSC
1994,QO95,89,1,BSSC
1994,QO95,91,6,BSSC
1994,QO95,92,6,BSSC
1994,QO95,93,7,BSSC
1994,QO95,94,9,BSSC
1994,QO95,95,12,BSSC
1994,QO95,96,10,BSSC
1994,QO95,97,8,BSSC
1994,QO95,98,18,BSSC
1994,QO95,99,18,BSSC
1994,QO95,100,15,BSSC
1994,QO95,101,18,BSSC
1994,QO95,102,19,BSSC
1994,QO95,103,24,BSSC
1994,QO95,104,29,BSSC
1994,QO95,105,32,BSSC
1994,QO95,106,24,BSSC
1994,QO95,107,26,BSSC
1994,QO95,108,33,BSSC
1994,QO95,109,26,BSSC
1994,QO95,110,41,BSSC
1994,QO95,111,20,BSSC
1994,QO95,112,29,BSSC
1994,QO95,113,26,BSSC
1994,QO95,114,28,BSSC
1994,QO95,115,36,BSSC
1994,QO95,116,35,BSSC
1994,QO95,117,28,BSSC
1994,QO95,118,31,BSSC
1994,QO95,119,23,BSSC
1994,QO95,120,28,BSSC
1994,QO95,121,41,BSSC
1994,QO95,122,22,BSSC
1994,QO95,123,31,BSSC
1994,QO95,124,27,BSSC
1994,QO95,125,18,BSSC
